id_purchase,product
1014,coffee
1064,coffee
1091,tea
1072,pastry
1093,tea
1060,pastry
1031,coffee
1027,coffee
1039,cake
1098,cake
1091,cake
1001,tea
1010,sandwich
1057,pastry
1056,sandwich
1079,cake
1022,pastry
1081,sandwich
1058,tea
1010,pastry
1019,cake
1008,sandwich
1076,sandwich
1009,pastry
1097,sandwich
1059,cake
1070,tea
1095,coffee
1022,pastry
1099,coffee
1019,pastry
1017,sandwich
1036,pastry
1005,cake
1075,pastry
1052,pastry
1063,coffee
1087,pastry
1024,coffee
1087,pastry
1006,coffee
1072,tea
1072,sandwich
1096,coffee
1048,sandwich
1066,cake
1090,tea
1074,coffee
1025,tea
1074,sandwich
1051,pastry
1066,cake
1025,cake
1027,sandwich
1085,sandwich
1071,sandwich
1029,tea
1000,cake
1044,tea
1031,tea
1000,cake
1096,coffee
1044,tea
1060,cake
1055,tea
1064,sandwich
1089,coffee
1041,coffee
1006,coffee
1031,tea
1018,pastry
1009,pastry
1026,sandwich
1081,tea
1079,cake
1022,sandwich
1014,cake
1023,cake
1034,coffee
1100,cake
1035,coffee
1004,tea
1093,cake
1031,sandwich
1099,tea
1063,sandwich
1062,coffee
1078,pastry
1099,pastry
1099,coffee
1065,cake
1006,tea
1093,tea
1081,coffee
1046,sandwich
1011,coffee
1055,sandwich
1007,pastry
1084,cake
1039,tea
